Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank
2007-09-15,2007,R,,notre-dame,michigan,A,0,38,0,,
2007-09-15,2007,R,,michigan-state,pittsburgh,H,17,13,0,,
2007-09-15,2007,R,,pittsburgh,michigan-state,A,13,17,0,,
2007-09-15,2007,R,,mississippi-state,auburn,A,19,14,0,,
2007-09-15,2007,R,,auburn,mississippi-state,H,14,19,0,,
2007-09-15,2007,R,,missouri,western-michigan,H,52,24,0,,
2007-09-15,2007,R,,western-michigan,missouri,A,24,52,0,,
2007-09-15,2007,R,,nevada,nicholls-state,H,52,17,0,,
2007-09-15,2007,R,,nicholls-state,nevada,A,17,52,0,,
2007-09-15,2007,R,,new-hampshire,marshall,A,48,35,0,,
2007-09-15,2007,R,,marshall,new-hampshire,H,35,48,0,,
2007-09-15,2007,R,,new-mexico,arizona,A,29,27,0,,
2007-09-15,2007,R,,arizona,new-mexico,H,27,29,0,,
2007-09-15,2007,R,,new-mexico-state,texas-el-paso,H,29,24,0,,
2007-09-15,2007,R,,texas-el-paso,new-mexico-state,A,24,29,0,,
2007-09-15,2007,R,,north-carolina-state,wofford,H,38,17,0,,
2007-09-15,2007,R,,wofford,north-carolina-state,A,17,38,0,,
2007-09-15,2007,R,,ohio-state,washington,A,33,14,0,10.0,
2007-09-15,2007,R,,washington,ohio-state,H,14,33,0,,10.0
2007-09-15,2007,R,,oklahoma,utah-state,H,54,3,0,3.0,
2007-09-15,2007,R,,utah-state,oklahoma,A,3,54,0,,3.0
2007-09-15,2007,R,,oregon,fresno-state,H,52,21,0,19.0,
2007-09-15,2007,R,,fresno-state,oregon,A,21,52,0,,19.0
2007-09-15,2007,R,,oregon-state,idaho-state,H,61,10,0,,
2007-09-15,2007,R,,idaho-state,oregon-state,A,10,61,0,,
2007-09-15,2007,R,,penn-state,buffalo,H,45,24,0,12.0,
2007-09-15,2007,R,,buffalo,penn-state,A,24,45,0,,12.0
2007-09-15,2007,R,,purdue,central-michigan,H,45,22,0,,
2007-09-15,2007,R,,central-michigan,purdue,A,22,45,0,,
2007-09-15,2007,R,,rutgers,norfolk-state,H,59,0,0,13.0,
2007-09-15,2007,R,,norfolk-state,rutgers,A,0,59,0,,13.0
2007-09-15,2007,R,,south-carolina,south-carolina-state,H,38,3,0,17.0,
2007-09-15,2007,R,,south-carolina-state,south-carolina,A,3,38,0,,17.0
2007-09-15,2007,R,,southern-california,nebraska,A,49,31,0,1.0,14.0
2007-09-15,2007,R,,nebraska,southern-california,H,31,49,0,14.0,1.0
2007-09-15,2007,R,,southern-mississippi,east-carolina,A,28,21,0,,
2007-09-15,2007,R,,east-carolina,southern-mississippi,H,21,28,0,,
2007-09-15,2007,R,,stanford,san-jose-state,H,37,0,0,,
2007-09-15,2007,R,,san-jose-state,stanford,A,0,37,0,,
2007-09-15,2007,R,,texas,central-florida,A,35,32,0,6.0,
2007-09-15,2007,R,,central-florida,texas,H,32,35,0,,6.0
2007-09-15,2007,R,,texas-a-m,louisiana-monroe,H,54,14,0,25.0,
2007-09-15,2007,R,,louisiana-monroe,texas-a-m,A,14,54,0,,25.0
2007-09-15,2007,R,,texas-tech,rice,A,59,24,0,,
2007-09-15,2007,R,,rice,texas-tech,H,24,59,0,,
2007-09-15,2007,R,,tulsa,brigham-young,H,55,47,0,,
2007-09-15,2007,R,,brigham-young,tulsa,A,47,55,0,,
2007-09-15,2007,R,,utah,ucla,H,44,6,0,,11.0
2007-09-15,2007,R,,ucla,utah,A,6,44,0,11.0,
2007-09-15,2007,R,,vanderbilt,mississippi,H,31,17,0,,
2007-09-15,2007,R,,mississippi,vanderbilt,A,17,31,0,,
2007-09-15,2007,R,,virginia,north-carolina,A,22,20,0,,
2007-09-15,2007,R,,north-carolina,virginia,H,20,22,0,,
