source_file,window_title,team_name,dest
sportsref_download (19).xls,1995-96 Morehead State Eagles Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Morehead State,Morehead_State.xls
sportsref_download (19).xls,1995-96 Northern Illinois Huskies Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Northern Illinois,Northern_Illinois_dup1785041775.xls
sportsref_download (19).xls,1995-96 Ohio Bobcats Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Ohio,Ohio.xls
sportsref_download (19).xls,1995-96 Prairie View A&M Panthers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Prairie View A&M,Prairie_View_AM.xls
sportsref_download (19).xls,1995-96 Rider Broncs Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Rider,Rider_dup1785041862.xls
sportsref_download (19).xls,1995-96 Rider Broncs Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Rider,Rider_dup1785042934.xls
sportsref_download (19).xls,1995-96 Saint Peter's Peacocks Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Saint Peter's,Saint_Peters.xls
sportsref_download (19).xls,1995-96 Siena Saints Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Siena,Siena.xls
sportsref_download (19).xls,1995-96 Saint Joseph's Hawks Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Saint Joseph's,Saint_Josephs.xls
sportsref_download (19).xls,1995-96 St. Francis Brooklyn Terriers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,St. Francis Brooklyn,St_Francis_Brooklyn.xls
sportsref_download (19).xls,1995-96 Troy Trojans Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Troy,Troy.xls
sportsref_download (19).xls,1995-96 Utah State Aggies Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Utah State,Utah_State_dup1785043037.xls
sportsref_download (19).xls,1995-96 Vermont Catamounts Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Vermont,Vermont.xls
